0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
8.1,8.1,7.8,7.7,7.7,8.2,8.0,7.9,7.8,7.6,8.2,8.0,7.8,7.8,7.9,7.8,8.2,8.0,7.9,8.4,8.3,7.4,8.1,8.2,8.1,,
8.5,7.8,7.6,7.6,8.2,7.9,7.8,8.1,7.7,7.7,7.7,7.6,7.8,7.8,7.9,7.9,7.9,7.9,8.2,7.8,7.6,7.4,7.6,7.8,8.2,8.0,
8.3,8.2,7.6,8.0,7.7,8.5,7.4,8.0,7.7,7.8,7.7,7.7,8.7,7.6,7.7,7.8,8.1,7.8,7.5,7.5,7.6,7.7,8.3,7.4,7.8,,
8.0,7.6,7.6,7.7,7.7,7.6,7.4,7.4,7.7,7.8,7.4,7.5,7.6,8.2,7.8,7.4,7.6,7.3,7.7,8.3,8.1,7.8,8.1,7.3,7.5,7.6,8.1
7.8,7.6,7.7,7.7,7.5,7.6,7.6,7.8,7.7,7.6,7.4,8.0,7.6,7.6,7.6,7.6,7.5,7.7,7.5,7.4,7.3,8.1,7.6,7.9,8.2,,
7.6,7.5,7.7,7.6,7.4,7.6,7.6,7.4,7.7,7.6,7.4,7.4,7.4,7.6,7.3,7.7,7.7,7.4,7.2,7.7,7.3,8.0,7.4,7.4,7.6,,
7.4,7.4,7.3,7.3,7.1,7.2,7.4,7.3,7.3,7.5,7.5,7.2,8.0,7.9,7.3,7.1,7.3,7.1,7.2,7.3,7.3,7.2,7.2,7.6,8.1,,
7.2,6.7,6.4,7.0,7.0,6.6,6.8,6.6,6.4,6.3,6.4,6.5,6.4,6.5,6.4,6.6,6.5,6.6,6.5,6.5,7.4,8.9,,,,,
